,Book Name,Author,Genre,Book Review
0,Just as I Am,"Cicely Tyson, Robin Miles",Audio / Nonfiction / Biography & Memoir,Narrator Robin Miles bringing the same warmth and depth of characterization to Cicely Tyson’s memoir as she did to Isabel Wilkerson’s Caste.
1,Red Island House,"Andrea Lee
",Fiction / Literary Fiction,The stories of Andrea Lee’s Red Island House are vibrant and enchanting despite the current of dread that runs through the novel from the start.
2,Flight of the Diamond Smugglers,"Matthew Gavin Frank
",Nonfiction / Memoir / Animals,"Matthew Gavin Frank's Flight of the Diamond Smugglers is a fascinating exploration of the history of mining in South Africa, born of personal tragedy."
3, One Thing You'd Save,"Linda Sue Park, Robert Sa",Children's / Middle Grade,"In The One Thing You’d Save, a teacher named Ms. Chang invites her students to participate in a thought exercise. If their house caught fire, what one thing would they choose to save? Each child, along with Ms. Chang, considers, chooses and then explains their selection. "
4, Daughters of Kobani,"Gayle Tzemach Lemmon
",Nonfiction / History / Middle Eastern History,The story of how young Kurdish women brought down terrorists from the Islamic State group finally gets told in The Daughters of Kobani.
5, Zoologist's Guide to the Galaxy,"Arik Kershenbaum
",Nonfiction / Science & Nature,Zoologist Arik Kershenbaum draws on a range of scientific disciplines to contemplate what characteristics extraterrestrial animals might possess.
6,als,"Tommy Greenwald
",Children's / Middle Grade,"In Rivals, Tommy Greenwald’s second novel set in the fictional town of Walthorne (after 2018’s Game Changer), having fun is immaterial when it comes to a high-pressure middle school basketball season between the Walthorne North Cougars and the Walthorne South Panthers. Everyone wants..."
7,"ther, Sister, Mother, Explorer ","Jamie Figueroa
",Fiction / Literary Fiction,"Ghosts hover over Jamie Figueroa’s debut, a lyrical contemplation of how we can never run away from our past."
8, Sweet Taste of Muscadines,"Pamela Terry
",Fiction / Family Drama,Pamela Terry’s debut novel sometimes feels like a mashup of Fried Green Tomatoes and You Can’t Go Home Again with a sprinkling of William Faulkner.
9,We Begin at the End,"Chris Whitaker
",Fiction / Crime Fiction,"Chris Whitaker combines a brisk pace, a solid California voice and perhaps a record-setting cuss count."
