,movie_title,year,ratings
0,Rang De Basanti,2006,8.2
1,Lagaan: Once Upon a Time in India,2001,8.1
2,Dil Chahta Hai,2001,8.1
3,Gangs of Wasseypur,2012,8.2
4,Zindagi Na Milegi Dobara,2011,8.2
5,3 Idiots,2009,8.4
6,"Swades: We, the People",2004,8.2
7,Paan Singh Tomar,2012,8.2
8,Salaam Bombay!,1988,8
9,Bhaag Milkha Bhaag,2013,8.2
10,A Wednesday,2008,8.1
11,Barfi!,2012,8.1
12,Dev.D,2009,8
13,Gangs of Wasseypur,2012,8.2
14,Piku,2015,7.6
15,Taare Zameen Par,2007,8.4
16,Munna Bhai M.B.B.S.,2003,8.1
17,Vicky Donor,2012,7.8
18,Drishyam,2015,8.2
19,Hera Pheri,2000,8.2
20,Andaz Apna Apna,1994,8.2
21,Gangaajal,2003,7.8
22,Once Upon a Time in Mumbaai,2010,7.4
23,Rajneeti,2010,7.1
24,Special Chabbis,2013,8
25,Masaan,2015,8.2
26,Ankhon Dekhi,2013,8
27,Parched,2015,7.6
28,Udaan,2010,8.2
29,PK,2014,8.1
30,Oye Lucky! Lucky Oye!,2008,7.7
31,Ship of Theseus,2012,8.1
32,Kahaani,2012,8.1
33,Maqbool,2003,8.1
34,Bandit Queen,1994,7.6
35,Black Friday,2004,8.5
36,Omkara,2006,8.1
37,Queen,2013,8.2
38,Shahid,2012,8.2
39,The Lunchbox,2013,7.8
40,Dangal,2016,8.4
41,Chak De! India,2007,8.2
42,Black,2005,8.2
43,Guru,2007,7.7
44,My Name Is Khan,2010,8
45,Manjhi: The Mountain Man,2015,8
46,Satya,1998,8.2
47,Paa,2009,7.2
48,Raincoat,2004,7.6
49,The Legend of Bhagat Singh,2002,8.1
50,Apaharan,2005,7.4
51,OMG: Oh My God!,2012,8.1
52,Shool,1999,7.7
53,Talvar,2015,8.2
54,Wake Up Sid,2009,7.6
55,Sholay,1975,8.2
56,Haider,2014,8.1
57,Mumbai Meri Jaan,2008,7.7
58,Jo Jeeta Wohi Sikandar,1992,8.2
59,Lage Raho Munna Bhai,2006,8.1
60,Dum Laga Ke Haisha,2015,7.5
61,Rockstar,2011,7.7
62,Dilwale Dulhania Le Jayenge,1995,8.1
63,English Vinglish,2012,7.8
64,Ghajini,2008,7.3
65,Devdas,I) (,7.6
66,Jab We Met,2007,7.9
67,Pink,III),8.1
68,Ugly,2013,8
69,Rock On!!,2008,7.7
70,Jodhaa Akbar,2008,7.6
71,Peepli [Live],2010,7.4
72,Company,2002,8
73,Damini,1993,7.8
74,Gulaal,2009,8.1
75,Udta Punjab,2016,7.8
76,Madras Cafe,2013,7.7
77,Lootera,I) (,7.3
78,Bãhubali: The Beginning,2015,8
79,Fashion,2008,6.9
80,Sarfarosh,1999,8.1
81,Kai po che!,2013,7.7
82,Raanjhanaa,2013,7.6
83,Bajirao Mastani,2015,7.2
84,Zakhm,1998,7.9
85,Virasat,1997,7.5
86,Stanley Ka Dabba,2011,7.8
87,Darr,1993,7.8
88,Guzaarish,2010,7.4
89,Namastey London,2007,7.1
90,Nayak: The Real Hero,2001,7.8
91,Khakee,2004,7.4
92,Delhi Belly,2011,7.6
93,Gadar: Ek Prem Katha,2001,7.2
94,Veer-Zaara,2004,7.8
95,Kuch Kuch Hota Hai,1998,7.6
96,Dhamaal,2007,7.3
97,Golmaal: Fun Unlimited,2006,7.4
98,Aligarh,2015,7.8
99,Earth,1998,7.7
